textbook,model,textbook_questions_n,avg_accuracy_pct,min_chapter_accuracy_pct,min_chapter_number,min_chapter_label,min_chapter_questions_n
Accounting V1,o3,318,95.6,88.9,4,Chapter 4: Job Order Costing,18
Accounting V1,deepseek-chat,318,89.3,81.5,7,Chapter 7: Budgeting,27
Accounting V1,gemini-2.5-pro,318,94.3,87.0,14,Chapter 14: Corporation Accounting,23
Accounting V1,o4-mini,318,93.7,82.6,14,Chapter 14: Corporation Accounting,23
Accounting V1,gpt-5,318,97.2,92.0,9,Chapter 9: Responsibility Accounting and Decentralization,25
Accounting V2,o3,230,96.5,85.7,10,Chapter 10: Short-Term Decision-Making,14
Accounting V2,deepseek-chat,230,88.7,80.0,11,Chapter 11: Capital Budgeting Decisions,20
Accounting V2,gemini-2.5-pro,230,93.9,70.0,11,Chapter 11: Capital Budgeting Decisions,20
Accounting V2,o4-mini,230,94.8,80.0,7,Chapter 7: Budgeting,15
Accounting V2,gpt-5,230,94.8,80.0,11,Chapter 11: Capital Budgeting Decisions,20
Algebra and Trig 2e,o3,3092,96.2,89.1,4,Chapter 4: Linear Functions,128
Algebra and Trig 2e,deepseek-chat,3092,90.0,76.4,8,Chapter 8: Periodic Functions,89
Algebra and Trig 2e,gemini-2.5-pro,3092,95.2,89.1,4,Chapter 4: Linear Functions,128
Algebra and Trig 2e,o4-mini,3092,95.5,89.1,4,Chapter 4: Linear Functions,128
Algebra and Trig 2e,gpt-5,3092,95.9,90.6,4,Chapter 4: Linear Functions,128
American Gov 3e,o3,161,93.8,77.8,17,Chapter 17,9
American Gov 3e,deepseek-chat,161,87.6,66.7,1,Chapter 1,6
American Gov 3e,gemini-2.5-pro,161,91.3,75.0,12,Chapter 12,8
American Gov 3e,o4-mini,161,92.5,66.7,1,Chapter 1,6
American Gov 3e,gpt-5,161,88.8,75.0,16,Chapter 16,8
Business Ethics,o3,193,91.7,83.3,6,Chapter 6,18
Business Ethics,deepseek-chat,193,87.6,69.2,3,Chapter 3,13
Business Ethics,gemini-2.5-pro,193,90.7,80.0,7,Chapter 7,25
Business Ethics,o4-mini,193,89.6,76.0,7,Chapter 7,25
Business Ethics,gpt-5,193,87.0,72.0,7,Chapter 7,25
Business Law,o3,79,94.9,75.0,11,Chapter 11,8
Business Law,deepseek-chat,79,91.1,75.0,11,Chapter 11,8
Business Law,gemini-2.5-pro,79,94.9,80.0,13,Chapter 13,5
Business Law,o4-mini,79,91.1,62.5,11,Chapter 11,8
Business Law,gpt-5,79,92.4,75.0,11,Chapter 11,8
Business Stats,o3,377,84.4,56.8,6,Chapter 6,37
Business Stats,deepseek-chat,377,75.6,51.4,6,Chapter 6,37
Business Stats,gemini-2.5-pro,377,82.2,48.6,6,Chapter 6,37
Business Stats,o4-mini,377,85.9,54.1,6,Chapter 6,37
Business Stats,gpt-5,377,84.9,59.5,6,Chapter 6,37
Calc V1,o3,1059,94.3,89.0,2,Chapter 2: Vectors in Space,109
Calc V1,deepseek-chat,1059,84.9,78.0,2,Chapter 2: Vectors in Space,109
Calc V1,gemini-2.5-pro,1059,93.0,85.8,6,Chapter 6: Vector Calculus,162
Calc V1,o4-mini,1059,92.9,88.3,6,Chapter 6: Vector Calculus,162
Calc V1,gpt-5,1059,94.7,87.7,6,Chapter 6: Vector Calculus,162
Calc V2,o3,1219,93.9,86.1,4,Chapter 4: Differentiation of Functions of Several Variables,108
Calc V2,deepseek-chat,1219,88.4,77.8,4,Chapter 4: Differentiation of Functions of Several Variables,108
Calc V2,gemini-2.5-pro,1219,91.8,85.2,4,Chapter 4: Differentiation of Functions of Several Variables,108
Calc V2,o4-mini,1219,91.6,84.3,4,Chapter 4: Differentiation of Functions of Several Variables,108
Calc V2,gpt-5,1219,93.2,82.4,4,Chapter 4: Differentiation of Functions of Several Variables,108
Calc V3,o3,1108,92.5,88.3,7,Chapter 7: Second-Order Differential Equations,77
Calc V3,deepseek-chat,1108,82.5,69.3,3,Chapter 3: Vector-Valued Functions,88
Calc V3,gemini-2.5-pro,1108,92.8,87.5,3,Chapter 3: Vector-Valued Functions,88
Calc V3,o4-mini,1108,94.0,88.6,3,Chapter 3: Vector-Valued Functions,88
Calc V3,gpt-5,1108,93.3,90.9,3,Chapter 3: Vector-Valued Functions,88
Chem 2e,o3,714,92.7,68.3,15,Chapter 15,41
Chem 2e,deepseek-chat,714,87.7,61.0,15,Chapter 15,41
Chem 2e,gemini-2.5-pro,714,91.2,65.9,15,Chapter 15,41
Chem 2e,o4-mini,714,90.3,73.2,15,Chapter 15,41
Chem 2e,gpt-5,714,92.3,68.3,15,Chapter 15,41
College Algebra,o3,2341,96.2,89.1,4,Chapter 4: Linear Functions,129
